section,field,row_count,missing_count,missing_percent,observed_types,type_counts,examples
screener,#,35,0,0.0,integer,"{""integer"": 35}","[1, 2, 3]"
screener,Ticker,35,0,0.0,string,"{""string"": 35}","[""DMAS"", ""GULA"", ""HATM""]"
screener,Sector,35,1,2.86,string,"{""string"": 34}","[""IDXPROPERT"", ""IDXNONCYC"", ""IDXTRANS""]"
screener,Price,35,0,0.0,integer,"{""integer"": 35}","[152, 580, 320]"
screener,Chg %,35,0,0.0,integer|number,"{""integer"": 1, ""number"": 34}","[0.02013422818791946, 0.03571428571428571, -0.05882352941176471]"
screener,RVOL,35,0,0.0,number,"{""number"": 35}","[0.6126307884676191, 1.473893699973882, 0.2757724523315999]"
screener,ADR %,35,0,0.0,number,"{""number"": 35}","[0.03712406015037594, 0.07007389162561577, 0.08794642857142856]"
screener,Current Q VWAP,35,0,0.0,string,"{""string"": 35}","[""Between +1 σ and VWAP"", ""Between +3 σ and +2 σ"", ""Between VWAP and -1 σ""]"
screener,Prev Q VWAP,35,0,0.0,string,"{""string"": 35}","[""Above +3 σ"", ""Between VWAP and -1 σ"", ""Between -1 σ and -2 σ""]"
screener,Prev Y VWAP,35,0,0.0,string,"{""string"": 35}","[""Between +1 σ and VWAP"", ""Near +3 σ (0.22%)"", ""Near +1 σ (1.12%)""]"
screener,MA,35,0,0.0,string,"{""string"": 35}","[""Above All Available MA"", ""Above EMA20, EMA25, EMA50, SMA200 | Below EMA10"", ""Above EMA10, EMA20, EMA25 | Below EMA50, SMA200""]"
screener,Summary Screener,35,0,0.0,string,"{""string"": 35}","[""Close 152 > EMA25 150; EMA25 150 > EMA50 146; RSI 53.0 > 50 confirms positive momentum"", ""Close 580 > EMA25 473; EMA25 473 > EMA50 428; RSI 77.6 > 50 confirms positive momentum"", ""Close 320 > EMA25 315; EMA25 315 > EMA50 315; RSI 51.4 > 50 confirms positive momentum""]"
screener,Sentiment News,35,24,68.57,string,"{""string"": 11}","[""→ Neutral  ·  Jumlah pemegang saham dari PT Puradelta Lestari Tbk – IDX:DMAS - TradingVie…  [1d]"", ""→ Neutral  ·  Pengendali Serok Saham GULA, Kini Genggam 55,17% - investor.id  [2d]"", ""↑ Bullish  ·  Laba naik 45%, Midi Utama Indonesia (MIDI) bagikan dividen Rp 396,2 miliar …  [3d]""]"
screener,Corp. Action,35,35,100.0,,{},[]
screener,Entry POI,35,0,0.0,string,"{""string"": 35}","[""EMA25"", ""PrevY +3SD"", ""PrevY +1SD""]"
screener,Entry,35,0,0.0,integer,"{""integer"": 35}","[150, 579, 324]"
screener,Entry Distance %,35,0,0.0,integer|number,"{""integer"": 2, ""number"": 33}","[-0.0114, -0.0022, 0.0113]"
screener,Target POI,35,0,0.0,string,"{""string"": 35}","[""OB Bear Low"", ""EQ High"", ""OB Bear High""]"
screener,Target,35,0,0.0,integer,"{""integer"": 35}","[155, 990, 343]"
screener,Target Upside %,35,0,0.0,number,"{""number"": 35}","[0.0315, 0.7107, 0.0599]"
screener,Invalidation POI,35,0,0.0,string,"{""string"": 35}","[""PrevQ +3SD"", ""SMA200"", ""EMA25""]"
screener,Invalidation,35,0,0.0,integer,"{""integer"": 35}","[148, 515, 315]"
screener,Invalidation Down %,35,0,0.0,number,"{""number"": 35}","[0.0146, 0.1098, 0.0268]"
screener,R/R,35,0,0.0,number,"{""number"": 35}","[2.1545, 6.4733, 2.2392]"
screener,Beta Zone,35,35,100.0,,{},[]
screener,RS Rating,35,0,0.0,integer,"{""integer"": 35}","[7, 12, 8]"
screener,Filter,35,0,0.0,string,"{""string"": 35}","[""A"", ""B"", ""D""]"
screener,Filter Label,35,0,0.0,string,"{""string"": 35}","[""EMA Trend"", ""Golden Cross"", ""POI Reclaim""]"
screener,Section,35,0,0.0,string,"{""string"": 35}","[""▲  EMA Trend ↑  |  Requirement: Close > EMA25 AND EMA25 > EMA50 AND RSI > 50"", ""✦  Golden Cross  |  Requirement: EMA Golden Cross OR MACD line crossed above MACD signal"", ""◉  POI Reclaim  |  Requirement: Candle low touched POI (VWAP/EMA/Internal OB EQ) and close reclaimed above it""]"
technical,Ticker,956,0,0.0,string,"{""string"": 956}","[""AADI"", ""AALI"", ""ABBA""]"
technical,Closing Price,956,0,0.0,integer|number,"{""integer"": 955, ""number"": 1}","[7975, 6175, 36]"
technical,Price Change %,956,0,0.0,integer|number,"{""integer"": 200, ""number"": 756}","[0.0126984126984127, 0.02489626556016597, 0.02857142857142857]"
technical,Beta (vs IHSG),956,0,0.0,integer|number,"{""integer"": 77, ""number"": 879}","[0.361, 0.5525, 1.0385]"
technical,Beta (vs IHSG) Zone,956,0,0.0,string,"{""string"": 956}","[""Low Correlation"", ""Defensive"", ""Above Market""]"
technical,RS Rating,956,0,0.0,integer,"{""integer"": 956}","[6, 5, 7]"
technical,RS Rating Zone,956,0,0.0,string,"{""string"": 956}","[""Weak (<60)"", ""Top-Tier Leader (≥95)""]"
technical,Emiten,956,1,0.1,string,"{""string"": 955}","[""ADARO ANDALAN INDONESIA Tbk"", ""ASTRA AGRO LESTARI Tbk"", ""MAHAKA MEDIA Tbk""]"
technical,IDX Sector,956,44,4.6,string,"{""string"": 912}","[""IDXENERGY"", ""IDXNONCYC"", ""IDXCYCLIC""]"
technical,Sector,956,49,5.13,string,"{""string"": 907}","[""Energy"", ""Consumer Defensive"", ""Communication Services""]"
technical,Industry,956,49,5.13,string,"{""string"": 907}","[""Thermal Coal"", ""Farm Products"", ""Publishing""]"
technical,Investors,956,1,0.1,string,"{""string"": 955}","[""1. ADARO STRATEGIC INVESTMENTS - Corporate - 41.1\n2. ALAMTRI RESOURCES INDONESIA TBK PT - Corporate - 15.37\n3. GARIBALDI THOHIR - Individual - 5.83\n4. SARATOGA INVESTAMA SEDAYA TBK PT - Corporate - 4.38\n5. EDWIN SOERYADJAYA - Individual - 3.52\n6. IR. T. PERMADI RACHMAT - Individual - 3.27\n7. SANDIAGA SALAHUDDIN UNO - Individual - 2.04\n8. PERSADA CAPITAL INVESTAMA - Corporate - 1.54\n9. FTAG INVESTMENT BANK LTD - Bank - 1.29\n10. PT TRINUGRAHA THOHIR - Corporate - 1.15"", ""1. PT ASTRA INTERNATIONAL TBK - Corporate - 79.68\n2. DJS KETENAGAKERJAAN PROGRAM JAMINAN HARI TUA - Insurance - 2.18"", ""1. PT. Beyond Media - Corporate - 40.47\n2. SOLIC KREASI BARU PT - Corporate - 13.77\n3. MEDIAHUIS IRELAND LIMITED - Unknown - 7.19\n4. DRS. WINARTO - Individual - 4.54\n5. YAYASAN ABDI BANGSA - Unknown - 2.83\n6. YAYASAN BINA SEJAHTERA WARGA BULOG - Unknown - 1.35\n7. KAIROS EKSPRES INTERNASIONAL PT - Corporate - 1.33\n8. PT.Grid One Media - Corporate - 1.11\n9. TJEN FOENG FA - Individual - 1.06\n10. PEARL HILL INVESTMENTS LTD - Bank - 1.02""]"
technical,Free Float,956,1,0.1,integer|number,"{""integer"": 8, ""number"": 947}","[20.51, 18.14, 25.33]"
technical,Classic HHI,956,1,0.1,integer,"{""integer"": 955}","[2011, 6354, 1915]"
technical,CR1,956,1,0.1,integer|number,"{""integer"": 83, ""number"": 872}","[41.1, 79.68, 40.47]"
technical,CR3,956,1,0.1,integer|number,"{""integer"": 17, ""number"": 938}","[62.3, 81.86, 61.43]"
technical,Total Investor >1%,956,0,0.0,integer,"{""integer"": 956}","[10, 2, 4]"
technical,CCS,956,1,0.1,integer,"{""integer"": 955}","[41, 76, 85]"
technical,Ownership Type,956,1,0.1,string,"{""string"": 955}","[""Oligopoli"", ""Mayoritas"", ""Terkonsentrasi""]"
technical,CCS Category,956,1,0.1,string,"{""string"": 955}","[""Sedang"", ""Tinggi"", ""Rendah""]"
technical,Market Cap,956,4,0.42,string,"{""string"": 952}","[""62.10 T"", ""11.88 T"", ""141.69 B""]"
