section,field,row_count,missing_count,missing_percent,observed_types,type_counts,examples
screener,#,31,0,0.0,integer,"{""integer"": 31}","[1, 2, 3]"
screener,Ticker,31,0,0.0,string,"{""string"": 31}","[""BSML"", ""CMNT"", ""DMAS""]"
screener,Sector,31,0,0.0,string,"{""string"": 31}","[""IDXENERGY"", ""IDXBASIC"", ""IDXPROPERT""]"
screener,Price,31,0,0.0,integer,"{""integer"": 31}","[402, 815, 151]"
screener,Chg %,31,0,0.0,integer|number,"{""integer"": 3, ""number"": 28}","[0.02551020408163265, 0.03164556962025317, -0.006578947368421052]"
screener,RVOL,31,0,0.0,number,"{""number"": 31}","[1.970639127437418, 1.461397085342174, 0.3950129396022676]"
screener,ADR %,31,0,0.0,number,"{""number"": 31}","[0.03375977256574272, 0.03111305872042068, 0.0368968779564806]"
screener,Current Q VWAP,31,0,0.0,string,"{""string"": 31}","[""Between +1 σ and VWAP"", ""Between +2 σ and +1 σ"", ""Between VWAP and -1 σ""]"
screener,Prev Q VWAP,31,0,0.0,string,"{""string"": 31}","[""Above +3 σ"", ""Between +1 σ and VWAP"", ""Between VWAP and -1 σ""]"
screener,Prev Y VWAP,31,0,0.0,string,"{""string"": 31}","[""Above +3 σ"", ""Between VWAP and -1 σ"", ""Near VWAP (1.08%)""]"
screener,MA,31,0,0.0,string,"{""string"": 31}","[""Above All Available MA"", ""Above EMA20, EMA25, EMA50, SMA200 | Below EMA10"", ""Above EMA10, EMA20, EMA25, EMA50 | Below SMA200""]"
screener,Summary Screener,31,0,0.0,string,"{""string"": 31}","[""Close 402 > EMA25 400; EMA25 400 > EMA50 388; RSI 51.4 > 50 confirms positive momentum"", ""Close 815 > EMA25 794; EMA25 794 > EMA50 790; RSI 58.4 > 50 confirms positive momentum"", ""Close 151 > EMA25 150; EMA25 150 > EMA50 147; RSI 51.5 > 50 confirms positive momentum""]"
screener,Sentiment News,31,22,70.97,string,"{""string"": 9}","[""→ Neutral  ·  Dipicu Penurunan Pendapatan, Laba Puradelta (DMAS) Tergerus 66,6% di 2025 -…  [1d]"", ""→ Neutral  ·  Pengendali Serok Saham GULA, Kini Genggam 55,17% - investor.id  [3d]"", ""↑ Bullish  ·  HATM Alokasikan Rp17,36 Miliar untuk Dividen, Mayoritas Laba Justru Ditahan…  [today]""]"
screener,Corp. Action,31,31,100.0,,{},[]
screener,Entry POI,31,0,0.0,string,"{""string"": 31}","[""EMA25"", ""OB Bear Low"", ""PrevY +3SD""]"
screener,Entry,31,0,0.0,integer,"{""integer"": 31}","[400, 815, 150]"
screener,Entry Distance %,31,0,0.0,integer|number,"{""integer"": 5, ""number"": 26}","[-0.0053, 0, -0.0045]"
screener,Target POI,31,0,0.0,string,"{""string"": 31}","[""OB Bear High"", ""PrevQ +1SD"", ""OB Bear Low""]"
screener,Target,31,0,0.0,integer,"{""integer"": 31}","[434, 852, 155]"
screener,Target Upside %,31,0,0.0,number,"{""number"": 31}","[0.0853, 0.0458, 0.0311]"
screener,Invalidation POI,31,0,0.0,string,"{""string"": 31}","[""EMA50"", ""PrevQ VWAP"", ""PrevQ +3SD""]"
screener,Invalidation,31,0,0.0,integer,"{""integer"": 31}","[388, 798, 148]"
screener,Invalidation Down %,31,0,0.0,number,"{""number"": 31}","[0.0299, 0.0204, 0.015]"
screener,R/R,31,0,0.0,number,"{""number"": 31}","[2.8518, 2.2408, 2.0758]"
screener,Beta Zone,31,31,100.0,,{},[]
screener,RS Rating,31,0,0.0,integer,"{""integer"": 31}","[17, 6, 7]"
screener,Filter,31,0,0.0,string,"{""string"": 31}","[""A"", ""B"", ""D""]"
screener,Filter Label,31,0,0.0,string,"{""string"": 31}","[""EMA Trend"", ""Golden Cross"", ""POI Reclaim""]"
screener,Section,31,0,0.0,string,"{""string"": 31}","[""▲  EMA Trend ↑  |  Requirement: Close > EMA25 AND EMA25 > EMA50 AND RSI > 50"", ""✦  Golden Cross  |  Requirement: EMA Golden Cross OR MACD line crossed above MACD signal"", ""◉  POI Reclaim  |  Requirement: Candle low touched POI (VWAP/EMA/Internal OB EQ) and close reclaimed above it""]"
technical,Ticker,956,0,0.0,string,"{""string"": 956}","[""AADI"", ""AALI"", ""ABBA""]"
