date,schema_mode,file,workbook,ohlcv,signal_rows,signal_tickers,run_time
2026-01-02,historical-ohlcv,data/snapshots/2026-01-02.json,,data/ohlcv/2026-06-10,192,173,2026-01-02 17:15:00 WIB
2026-01-05,historical-ohlcv,data/snapshots/2026-01-05.json,,data/ohlcv/2026-06-10,242,218,2026-01-05 17:15:00 WIB
2026-01-06,historical-ohlcv,data/snapshots/2026-01-06.json,,data/ohlcv/2026-06-10,226,200,2026-01-06 17:15:00 WIB
2026-01-07,historical-ohlcv,data/snapshots/2026-01-07.json,,data/ohlcv/2026-06-10,194,172,2026-01-07 17:15:00 WIB
2026-01-08,historical-ohlcv,data/snapshots/2026-01-08.json,,data/ohlcv/2026-06-10,166,152,2026-01-08 17:15:00 WIB
2026-01-09,historical-ohlcv,data/snapshots/2026-01-09.json,,data/ohlcv/2026-06-10,172,165,2026-01-09 17:15:00 WIB
2026-01-12,historical-ohlcv,data/snapshots/2026-01-12.json,,data/ohlcv/2026-06-10,172,163,2026-01-12 17:15:00 WIB
2026-01-13,historical-ohlcv,data/snapshots/2026-01-13.json,,data/ohlcv/2026-06-10,155,144,2026-01-13 17:15:00 WIB
2026-01-14,historical-ohlcv,data/snapshots/2026-01-14.json,,data/ohlcv/2026-06-10,185,174,2026-01-14 17:15:00 WIB
2026-01-15,historical-ohlcv,data/snapshots/2026-01-15.json,,data/ohlcv/2026-06-10,147,136,2026-01-15 17:15:00 WIB
2026-01-19,historical-ohlcv,data/snapshots/2026-01-19.json,,data/ohlcv/2026-06-10,181,166,2026-01-19 17:15:00 WIB
2026-01-20,historical-ohlcv,data/snapshots/2026-01-20.json,,data/ohlcv/2026-06-10,150,139,2026-01-20 17:15:00 WIB
2026-01-21,historical-ohlcv,data/snapshots/2026-01-21.json,,data/ohlcv/2026-06-10,135,124,2026-01-21 17:15:00 WIB
2026-01-22,historical-ohlcv,data/snapshots/2026-01-22.json,,data/ohlcv/2026-06-10,128,120,2026-01-22 17:15:00 WIB
2026-01-23,historical-ohlcv,data/snapshots/2026-01-23.json,,data/ohlcv/2026-06-10,108,101,2026-01-23 17:15:00 WIB
2026-01-26,historical-ohlcv,data/snapshots/2026-01-26.json,,data/ohlcv/2026-06-10,115,106,2026-01-26 17:15:00 WIB
2026-01-27,historical-ohlcv,data/snapshots/2026-01-27.json,,data/ohlcv/2026-06-10,106,98,2026-01-27 17:15:00 WIB
2026-01-28,historical-ohlcv,data/snapshots/2026-01-28.json,,data/ohlcv/2026-06-10,212,209,2026-01-28 17:15:00 WIB
2026-01-29,historical-ohlcv,data/snapshots/2026-01-29.json,,data/ohlcv/2026-06-10,355,337,2026-01-29 17:15:00 WIB
2026-01-30,historical-ohlcv,data/snapshots/2026-01-30.json,,data/ohlcv/2026-06-10,70,68,2026-01-30 17:15:00 WIB
2026-02-02,historical-ohlcv,data/snapshots/2026-02-02.json,,data/ohlcv/2026-06-10,44,42,2026-02-02 17:15:00 WIB
2026-02-03,historical-ohlcv,data/snapshots/2026-02-03.json,,data/ohlcv/2026-06-10,95,93,2026-02-03 17:15:00 WIB
2026-02-04,historical-ohlcv,data/snapshots/2026-02-04.json,,data/ohlcv/2026-06-10,42,38,2026-02-04 17:15:00 WIB
2026-02-05,historical-ohlcv,data/snapshots/2026-02-05.json,,data/ohlcv/2026-06-10,71,65,2026-02-05 17:15:00 WIB
2026-02-06,historical-ohlcv,data/snapshots/2026-02-06.json,,data/ohlcv/2026-06-10,56,49,2026-02-06 17:15:00 WIB
2026-02-09,historical-ohlcv,data/snapshots/2026-02-09.json,,data/ohlcv/2026-06-10,72,69,2026-02-09 17:15:00 WIB
2026-02-10,historical-ohlcv,data/snapshots/2026-02-10.json,,data/ohlcv/2026-06-10,99,94,2026-02-10 17:15:00 WIB
2026-02-11,historical-ohlcv,data/snapshots/2026-02-11.json,,data/ohlcv/2026-06-10,127,119,2026-02-11 17:15:00 WIB
2026-02-12,historical-ohlcv,data/snapshots/2026-02-12.json,,data/ohlcv/2026-06-10,155,142,2026-02-12 17:15:00 WIB
2026-02-13,historical-ohlcv,data/snapshots/2026-02-13.json,,data/ohlcv/2026-06-10,131,118,2026-02-13 17:15:00 WIB
2026-02-18,historical-ohlcv,data/snapshots/2026-02-18.json,,data/ohlcv/2026-06-10,192,171,2026-02-18 17:15:00 WIB
2026-02-19,historical-ohlcv,data/snapshots/2026-02-19.json,,data/ohlcv/2026-06-10,164,150,2026-02-19 17:15:00 WIB
2026-02-20,historical-ohlcv,data/snapshots/2026-02-20.json,,data/ohlcv/2026-06-10,133,118,2026-02-20 17:15:00 WIB
2026-02-23,historical-ohlcv,data/snapshots/2026-02-23.json,,data/ohlcv/2026-06-10,160,147,2026-02-23 17:15:00 WIB
2026-02-24,historical-ohlcv,data/snapshots/2026-02-24.json,,data/ohlcv/2026-06-10,72,69,2026-02-24 17:15:00 WIB
2026-02-25,historical-ohlcv,data/snapshots/2026-02-25.json,,data/ohlcv/2026-06-10,109,102,2026-02-25 17:15:00 WIB
2026-02-26,historical-ohlcv,data/snapshots/2026-02-26.json,,data/ohlcv/2026-06-10,88,84,2026-02-26 17:15:00 WIB
2026-02-27,historical-ohlcv,data/snapshots/2026-02-27.json,,data/ohlcv/2026-06-10,92,86,2026-02-27 17:15:00 WIB
2026-03-02,historical-ohlcv,data/snapshots/2026-03-02.json,,data/ohlcv/2026-06-10,97,89,2026-03-02 17:15:00 WIB
2026-03-03,historical-ohlcv,data/snapshots/2026-03-03.json,,data/ohlcv/2026-06-10,99,95,2026-03-03 17:15:00 WIB
2026-03-04,historical-ohlcv,data/snapshots/2026-03-04.json,,data/ohlcv/2026-06-10,165,162,2026-03-04 17:15:00 WIB
2026-03-05,historical-ohlcv,data/snapshots/2026-03-05.json,,data/ohlcv/2026-06-10,88,83,2026-03-05 17:15:00 WIB
2026-03-06,historical-ohlcv,data/snapshots/2026-03-06.json,,data/ohlcv/2026-06-10,88,84,2026-03-06 17:15:00 WIB
2026-03-09,historical-ohlcv,data/snapshots/2026-03-09.json,,data/ohlcv/2026-06-10,197,191,2026-03-09 17:15:00 WIB
2026-03-10,historical-ohlcv,data/snapshots/2026-03-10.json,,data/ohlcv/2026-06-10,66,64,2026-03-10 17:15:00 WIB
2026-03-11,historical-ohlcv,data/snapshots/2026-03-11.json,,data/ohlcv/2026-06-10,62,61,2026-03-11 17:15:00 WIB
2026-03-12,historical-ohlcv,data/snapshots/2026-03-12.json,,data/ohlcv/2026-06-10,73,67,2026-03-12 17:15:00 WIB
2026-03-13,historical-ohlcv,data/snapshots/2026-03-13.json,,data/ohlcv/2026-06-10,67,65,2026-03-13 17:15:00 WIB
2026-03-16,historical-ohlcv,data/snapshots/2026-03-16.json,,data/ohlcv/2026-06-10,80,75,2026-03-16 17:15:00 WIB
2026-03-17,historical-ohlcv,data/snapshots/2026-03-17.json,,data/ohlcv/2026-06-10,86,81,2026-03-17 17:15:00 WIB
2026-03-25,historical-ohlcv,data/snapshots/2026-03-25.json,,data/ohlcv/2026-06-10,127,117,2026-03-25 17:15:00 WIB
